date,price,apy
2/2/24,1.461026443,2.16418672
2/3/24,1.43409307,1.805113267
2/4/24,1.466296326,2.726074633
2/5/24,1.572534962,2.304247967
2/6/24,1.516988974,2.455321033
2/7/24,1.539752539,1.6106922
2/8/24,1.528597318,1.6676352
2/9/24,1.760646767,1.435658967
2/10/24,1.73391843,1.677596033
2/11/24,1.694244565,1.590672867
2/12/24,1.764745623,1.618315933
2/13/24,1.861429481,1.135199567
2/14/24,1.907577069,0.952231467
2/15/24,1.865182332,0.5101704
2/16/24,1.808987078,0.463217333
2/17/24,1.766527717,0.641686733
2/18/24,1.799093544,1.223129033
2/19/24,1.774106215,1.2621525
2/20/24,1.718077731,1.196748633
2/21/24,1.692378956,0.712259933
2/22/24,1.719690933,0.619069767
2/23/24,1.604219803,0.5932829
2/24/24,1.634953938,0.6706947
2/25/24,1.645427894,1.251977067
2/26/24,1.671979618,1.526174133
2/27/24,1.614328819,1.628932
2/28/24,1.585825386,1.3978933
2/29/24,1.673971774,1.1217643
3/1/24,1.694356435,1.1446398
3/2/24,1.621654966,1.559302
3/3/24,1.560300674,1.754332733
3/4/24,1.486788959,1.922641567
3/5/24,1.397131733,1.448633867
3/6/24,1.472912832,1.347324367
3/7/24,1.584601206,1.400907067
3/8/24,1.547746107,1.3940417
3/9/24,1.58687475,1.327349167
3/10/24,1.555700934,1.138796433
3/11/24,1.572307937,1.255021933
3/12/24,1.598708077,1.579891767
3/13/24,1.619128013,2.206610833
3/14/24,1.57036692,2.3203396
3/15/24,1.488801006,2.9181639
3/16/24,1.632281869,3.143798
3/17/24,1.611710146,3.265396433
3/18/24,1.521472085,2.81969
3/19/24,1.652136239,1.763722267
3/20/24,1.755259929,1.3446171
3/21/24,1.824233523,0.929225033
3/22/24,1.723832254,1.2390128
3/23/24,1.64569712,1.598304133
3/24/24,1.679634485,4.642594467
3/25/24,1.705055275,4.701342433
3/26/24,1.890560175,4.679567
3/27/24,2.080737753,1.821632867
3/28/24,2.021013344,1.408062867
3/29/24,1.9056222,1.9621081
3/30/24,1.881039959,2.322825867
3/31/24,1.91691832,2.709876133
4/1/24,1.939659392,2.760503967
4/2/24,1.734718833,2.3380283
4/3/24,1.670089932,1.904332033
4/4/24,1.683076266,0.7594376
4/5/24,1.609620583,0.489876367
4/6/24,1.626119023,0.555918967
4/7/24,1.64126613,1.1393574
4/8/24,1.710660987,1.1526672
4/9/24,1.575128015,1.278683233
4/10/24,1.520859395,1.2705934
4/11/24,1.491258112,1.570679167
4/12/24,1.242060064,1.871356167
4/13/24,1.065135451,1.658041833
4/14/24,1.197950341,1.863454167
4/15/24,1.171340805,1.728978833
4/16/24,1.22443644,1.6850454
4/17/24,1.258423028,1.210483633
4/18/24,1.253765402,0.888914733
4/19/24,1.334684612,0.7258977
4/20/24,1.428790992,0.706190667
4/21/24,1.369772363,0.740320967
4/22/24,1.392000907,0.674817467
4/23/24,1.32408099,0.678664567
4/24/24,1.250857167,0.744826733
4/25/24,1.224327268,0.607410033
4/26/24,1.173764332,0.669657033
4/27/24,1.211721913,0.694115167
4/28/24,1.216833889,0.979451767
4/29/24,1.192812089,1.025116567
4/30/24,1.141977082,0.831149833
5/1/24,1.146309186,0.5542214
5/2/24,1.122215683,0.481305667
5/3/24,1.112626091,0.778108
5/4/24,1.090311087,1.139925067
5/5/24,1.095176907,1.079352
5/6/24,1.094070397,0.987768633
5/7/24,1.080207363,0.898387533
5/8/24,1.011100939,0.837199167
5/9/24,1.025735857,0.642635233
5/10/24,1.007946573,1.5340938
5/11/24,0.992991735,1.711113
5/12/24,1.00351199,1.9145274
5/13/24,0.968424558,1.018984567
5/14/24,0.895289279,0.980642433
5/15/24,0.991437762,0.827114967
5/16/24,1.024854734,0.6173043
5/17/24,1.077104776,0.683977033
5/18/24,1.081903189,0.7675951
5/19/24,1.028266601,0.873861467
5/20/24,1.145914224,0.749170967
5/21/24,1.140318521,0.694475
5/22/24,1.104693431,0.4406644
5/23/24,1.075374222,0.340458933
5/24/24,1.067919646,0.259015
5/25/24,1.062740934,0.395225133
5/26/24,1.040679405,0.422376567
5/27/24,1.073854679,0.7186752
5/28/24,1.030424316,0.677228067
5/29/24,1.015164314,0.576050667
5/30/24,1.013918073,0.281694
5/31/24,1.024657513,0.3151085
6/1/24,1.024478139,0.407348333
6/2/24,1.01628189,0.4182128
6/3/24,1.039937479,0.483271667
6/4/24,1.054333057,0.643263067
6/5/24,1.103782717,0.503835867
6/6/24,1.112777962,0.577784433
6/7/24,1.07883791,0.500496
6/8/24,1.106639453,0.705365367
6/9/24,1.092890805,0.733252467
6/10/24,1.03354901,0.7120588
6/11/24,0.993006961,0.5790175
6/12/24,1.018154948,0.363023767
6/13/24,0.965538717,0.265984267
6/14/24,0.929960916,0.471989367
6/15/24,0.9428148,0.7796643
6/16/24,0.968277756,0.9408166
6/17/24,0.891530838,0.879883833
6/18/24,0.800785376,0.736726
6/19/24,0.8653268,0.482099067
6/20/24,0.893273446,0.498606833
6/21/24,0.91892814,0.3953843
6/22/24,0.890507869,0.631972467
6/23/24,0.881339975,0.473501933
6/24/24,0.895078524,0.370898567
6/25/24,0.878265145,0.1981509
6/26/24,0.829012542,0.127050567
6/27/24,0.834389743,0.087275533
6/28/24,0.788811717,0.086761067
6/29/24,0.78112099,0.242240267
6/30/24,0.818768368,0.324537433
7/1/24,0.808808084,0.3087234
