date,tvl_cetus,apy_cetus,tvl_turbos,apy_turbos,merged_apy,merged_tvl
2024-06-07,,,23368,86.70056,86.70056,23368
2024-06-08,,,23567,0.18642,0.18642,23567
2024-06-09,,,23563,86.44835,86.44835,23563
2024-06-10,,,22914,63.51403,63.51403,22914
2024-06-11,,,22534,61.64723,61.64723,22534
2024-06-12,,,21055,94.81448,94.81448,21055
2024-06-13,,,20474,57.15593,57.15593,20474
2024-06-14,,,19930,21.73484,21.73484,19930
2024-06-15,,,20204,30.01636,30.01636,20204
2024-06-16,,,20429,28.04408,28.04408,20429
2024-06-17,,,19664,83.53637,83.53637,19664
2024-06-18,,,17853,122.31884,122.31884,17853
2024-06-19,,,18990,76.38977,76.38977,18990
2024-06-20,,,19487,65.25654,65.25654,19487
2024-06-21,,,19690,79.37149,79.37149,19690
2024-06-22,,,19465,0.00169,0.00169,19465
2024-06-23,,,19364,70.20887,70.20887,19364
2024-06-24,,,19484,48.40473,48.40473,19484
2024-06-25,,,19363,70.97814,70.97814,19363
2024-06-26,,,18555,22.66771,22.66771,18555
2024-06-27,,,18518,17.62372,17.62372,18518
2024-06-28,,,17784,19.15384,19.15384,17784
2024-06-29,,,17570,1.33761,1.33761,17570
2024-06-30,,,18352,5.69121,5.69121,18352
2024-07-01,,,18132,18.9995,18.9995,18132
2024-07-02,,,18395,47.98137,47.98137,18395
2024-07-03,,,17415,30.38036,30.38036,17415
2024-07-04,,,16111,14.25529,14.25529,16111
2024-07-05,,,14948,28.42847,28.42847,14948
2024-07-06,,,16008,15.97893,15.97893,16008
2024-07-07,,,14907,3.15803,3.15803,14907
2024-07-08,,,15522,4.40845,4.40845,15522
2024-07-09,,,16338,5.73459,5.73459,16338
2024-07-10,,,16476,15.41975,15.41975,16476
2024-07-11,,,16965,86.46666,86.46666,16965
2024-07-12,,,16757,66.17137,66.17137,16757
2024-07-13,,,17048,31.24009,31.24009,17048
2024-07-14,,,17917,89.56758,89.56758,17917
2024-07-15,,,18608,70.69445,70.69445,18608
2024-07-16,,,19159,90.87659,90.87659,19159
2024-07-17,,,18912,74.65682,74.65682,18912
2024-07-18,,,18195,32.17491,32.17491,18195
2024-07-19,,,18945,23.02984,23.02984,18945
2024-07-20,,,18885,31.95676,31.95676,18885
2024-07-21,,,18931,27.30655,27.30655,18931
2024-07-22,,,18734,37.68968,37.68968,18734
2024-07-23,,,18362,30.63364,30.63364,18362
2024-07-24,,,17559,23.76777,23.76777,17559
2024-07-25,,,17096,8.44532,8.44532,17096
2024-07-26,,,17898,23.46234,23.46234,17898
2024-07-27,,,17982,21.37475,21.37475,17982
2024-07-28,,,17062,49.56366,49.56366,17062
2024-07-29,,,17223,26.48204,26.48204,17223
2024-07-30,,,16542,2.96232,2.96232,16542
2024-07-31,,,16593,12.65596,12.65596,16593
2024-08-01,,,16410,4.3922,4.3922,16410
2024-08-02,,,15170,5.65284,5.65284,15170
2024-08-03,,,14448,5.04042,5.04042,14448
2024-08-04,,,13963,11.65713,11.65713,13963
2024-08-05,,,13044,28.46074,28.46074,13044
2024-08-06,,,14207,10.37935,10.37935,14207
2024-08-07,,,14505,10.01087,10.01087,14505
2024-08-08,,,18509,25.52077,25.52077,18509
2024-08-09,,,19013,101.66135,101.66135,19013
2024-08-10,,,20221,129.66354,129.66354,20221
2024-08-11,,,19725,220.76167,220.76167,19725
2024-08-12,,,22218,334.98473,334.98473,22218
2024-08-13,,,21384,173.37482,173.37482,21384
2024-08-14,,,20769,130.37049,130.37049,20769
2024-08-15,,,19484,113.26374,113.26374,19484
2024-08-16,,,19223,53.86118,53.86118,19223
2024-08-17,,,19344,28.68435,28.68435,19344
2024-08-18,,,19678,30.61894,30.61894,19678
2024-08-19,,,20878,49.09505,49.09505,20878
2024-08-20,,,20290,71.27937,71.27937,20290
2024-08-21,,,19996,23.80493,23.80493,19996
2024-08-22,,,25633,27.18195,27.18195,25633
2024-08-23,,,32907,187.22898,187.22898,32907
2024-08-24,,,32809,94.22897,94.22897,32809
2024-08-25,,,32681,74.29374,74.29374,32681
2024-08-26,,,31202,122.25578,122.25578,31202
2024-08-27,,,29236,153.47011,153.47011,29236
2024-08-28,,,19390,110.11351,110.11351,19390
2024-08-29,,,19224,33.31697,33.31697,19224
2024-08-30,,,19814,24.50816,24.50816,19814
2024-08-31,,,19281,11.20055,11.20055,19281
2024-09-01,,,18186,5.59307,5.59307,18186
2024-09-02,,,18461,4.56425,4.56425,18461
2024-09-03,,,15911,18.20712,18.20712,15911
2024-09-04,,,15920,6.19014,6.19014,15920
2024-09-05,,,15665,4.5246,4.5246,15665
2024-09-06,,,16181,9.53028,9.53028,16181
2024-09-07,,,17142,13.33469,13.33469,17142
2024-09-08,,,18069,91.83019,91.83019,18069
2024-09-09,,,18517,71.84632,71.84632,18517
2024-09-10,,,17859,98.01991,98.01991,17859
2024-09-11,,,18016,78.18444,78.18444,18016
2024-09-12,,,19641,205.35761,205.35761,19641
2024-09-13,,,19527,128.73399,128.73399,19527
2024-09-14,,,19734,56.99859,56.99859,19734
2024-09-15,,,20545,182.70333,182.70333,20545
2024-09-16,,,19895,163.82596,163.82596,19895
2024-09-17,,,21504,259.506,259.506,21504
2024-09-18,,,24897,508.02028,508.02028,24897
2024-09-19,,,24217,306.02041,306.02041,24217
2024-09-20,,,24159,198.05735,198.05735,24159
2024-09-21,,,24291,116.05115,116.05115,24291
2024-09-22,,,25068,138.42135,138.42135,25068
2024-09-23,,,24965,70.11606,70.11606,24965
2024-09-24,,,26493,60.47135,60.47135,26493
2024-09-25,,,26057,54.25809,54.25809,26057
2024-09-26,,,26111,35.1223,35.1223,26111
2024-09-27,,,27125,78.13082,78.13082,27125
2024-09-28,,,56004,72.25868,72.25868,56004
2024-09-29,,,61857,234.93709,234.93709,61857
2024-09-30,,,77259,345.78871,345.78871,77259
2024-10-01,,,103082,400.65938,400.65938,103082
2024-10-02,,,125848,376.66516,376.66516,125848
2024-10-03,,,129099,564.29927,564.29927,129099
2024-10-04,,,141601,309.32661,309.32661,141601
2024-10-05,,,139546,129.09324,129.09324,139546
2024-10-06,,,151492,194.89969,194.89969,151492
2024-10-07,,,151957,347.97143,347.97143,151957
2024-10-08,651067,486.26058,146798,511.85734,486.26058,651067
2024-10-09,4442421,190.15899,156715,294.23116,190.15899,4442421
2024-10-10,2912540,192.96572,151759,229.4577,192.96572,2912540
2024-10-11,4930813,162.09593,149630,231.97034,162.09593,4930813
2024-10-12,5514070,161.83841,185250,231.82841,161.83841,5514070
2024-10-13,5853782,147.70921,182877,302.09584,147.70921,5853782
2024-10-14,6231397,196.79135,178849,298.5006,196.79135,6231397
2024-10-15,5786416,211.52932,171016,412.26522,211.52932,5786416
2024-10-16,6344729,160.51854,174187,237.83682,160.51854,6344729
2024-10-17,6133290,120.56418,171691,154.1277,120.56418,6133290
2024-10-18,6744336,125.31397,174733,145.9697,125.31397,6744336
2024-10-19,5980614,90.24223,173251,88.83412,90.24223,5980614
2024-10-20,6760893,134.11853,179511,156.96155,134.11853,6760893
2024-10-21,6840081,131.43495,178419,166.11924,131.43495,6840081
2024-10-22,7372882,184.4228,142049,188.41211,184.4228,7372882
2024-10-23,7460736,168.59223,141160,129.42117,168.59223,7460736
2024-10-24,11985199,108.58148,138638,109.87401,108.58148,11985199
2024-10-25,10893347,116.74122,132975,209.60728,116.74122,10893347
2024-10-26,10336947,138.87141,130659,73.08026,138.87141,10336947
2024-10-27,10306845,103.00148,124589,60.86491,103.00148,10306845
2024-10-28,10689959,219.96454,92330,51.35884,219.96454,10689959
2024-10-29,11510088,218.53517,85280,311.05989,218.53517,11510088
2024-10-30,10608494,173.00903,83000,172.26345,173.00903,10608494
2024-10-31,12440365,165.12894,80441,143.89202,165.12894,12440365
2024-11-01,12759265,194.36819,84639,234.29172,194.36819,12759265
2024-11-02,13565292,112.62048,90465,94.89671,112.62048,13565292
2024-11-03,13259213,157.6973,83725,121.96345,157.6973,13259213
2024-11-04,12099420,188.27178,80244,179.25593,188.27178,12099420
2024-11-05,14462885,150.64331,83562,169.90097,150.64331,14462885
2024-11-06,14120579,344.51057,58937,500.59826,344.51057,14120579
2024-11-07,15252486,229.21805,111499,318.12609,229.21805,15252486
2024-11-08,16648185,210.52581,121143,268.96348,210.52581,16648185
2024-11-09,19194763,245.34074,119008,295.80522,245.34074,19194763
2024-11-10,15372450,566.14806,75671,848.04739,566.14806,15372450
2024-11-11,17809275,480.89032,109119,345.29857,480.89032,17809275
2024-11-12,19263096,416.85603,92941,444.18699,416.85603,19263096
2024-11-13,19893587,489.03281,85682,785.85915,489.03281,19893587
2024-11-14,19898013,343.62215,105561,438.68957,343.62215,19898013
2024-11-15,21354838,290.43226,108490,273.75136,290.43226,21354838
2024-11-16,21040518,270.69036,100339,263.70522,270.69036,21040518
2024-11-17,19698844,305.38805,95437,288.40416,305.38805,19698844
2024-11-18,21716083,215.63028,89449,207.46572,215.63028,21716083
2024-11-19,20401625,201.7615,80693,181.65109,201.7615,20401625
2024-11-20,21724197,265.59283,126106,245.22282,265.59283,21724197
2024-11-21,24127536,215.90128,74256,1163.49836,215.90128,24127536
2024-11-22,24428912,186.88922,113176,305.87387,186.88922,24428912
2024-11-23,23781193,193.02628,104426,202.78924,193.02628,23781193
2024-11-24,23731167,221.25189,104290,144.21598,221.25189,23731167
2024-11-25,23895712,203.55749,100617,179.91549,203.55749,23895712
2024-11-26,23184537,317.29588,96918,203.42587,317.29588,23184537
2024-11-27,24258299,188.74551,92474,119.8687,188.74551,24258299
2024-11-28,28069529,175.36445,92463,122.83355,175.36445,28069529
2024-11-29,28083327,118.32605,90919,81.70938,118.32605,28083327
2024-11-30,27409240,118.69649,78737,82.24144,118.69649,27409240
2024-12-01,27220393,132.19105,79010,65.27699,132.19105,27220393
