date,Funding Rate,funding_scaled
2023-05-04,-0.06176266666666666,-3.346620383498458
2023-05-05,-0.044895,-2.5168997459034204
2023-05-06,0.01,0.1833856759557347
2023-05-07,0.01,0.1833856759557347
2023-05-08,0.006009333333333334,-0.012915244410405483
2023-05-09,-0.03766933333333333,-2.1614691536233654
2023-05-10,-0.224225,-11.33814366068623
2023-05-11,-0.0005569999999999997,-0.33591322555746506
2023-05-12,-0.0009826666666666664,-0.3568517717742677
2023-05-13,0.0012233333333333334,-0.2483386168308066
2023-05-14,0.01,0.1833856759557347
2023-05-15,0.0028836666666666668,-0.16666680891702906
2023-05-16,-0.024787666666666666,-1.527819883029522
2023-05-17,0.0008549999999999999,-0.26645693599256615
2023-05-18,0.008326666666666668,0.10107439795389514
2023-05-19,0.004026333333333333,-0.1104590278432629
2023-05-20,0.01,0.1833856759557347
2023-05-21,0.01,0.1833856759557347
2023-05-22,0.006222333333333333,-0.0024377729675418933
2023-05-23,0.009902333333333334,0.17858145196080666
2023-05-24,0.006138333333333333,-0.0065697335365585375
2023-05-25,0.0029893333333333334,-0.16146906486790893
2023-05-26,0.01,0.1833856759557347
2023-05-27,0.01,0.1833856759557347
2023-05-28,0.01,0.1833856759557347
2023-05-29,0.01,0.1833856759557347
2023-05-30,0.01,0.1833856759557347
2023-05-31,0.01,0.1833856759557347
2023-06-01,0.01,0.1833856759557347
2023-06-02,0.01,0.1833856759557347
2023-06-03,0.01,0.1833856759557347
2023-06-04,0.01,0.1833856759557347
2023-06-05,0.01,0.1833856759557347
2023-06-06,0.0027526666666666667,-0.1731106998044241
2023-06-07,0.006426333333333333,0.007596988414355696
2023-06-08,0.01,0.1833856759557347
2023-06-09,0.01,0.1833856759557347
2023-06-10,0.0005240000000000002,-0.2827388282347627
2023-06-11,-0.03269166666666667,-1.9166176965712796
2023-06-12,-0.011117,-0.8553596970909869
2023-06-13,-0.014776333333333334,-1.0353623285460059
2023-06-14,-0.015271,-1.0596949852302149
2023-06-15,-0.007456333333333333,-0.6752914789602692
2023-06-16,-0.008233666666666667,-0.7135285108925978
2023-06-17,-0.01946533333333333,-1.266014270309328
2023-06-18,-0.014213666666666666,-1.0076847514011642
2023-06-19,-0.028358333333333333,-1.7034610005505793
2023-06-20,-0.013201,-0.957871671208019
2023-06-21,0.003583,-0.13226659751307301
2023-06-22,-0.008459,-0.7246126590856743
2023-06-23,0.002001,-0.21008518822955324
2023-06-24,0.0016876666666666665,-0.22549805701874237
2023-06-25,-0.017329999999999998,-1.160977209177897
2023-06-26,-0.007127666666666667,-0.6591243634005453
2023-06-27,-0.006724333333333333,-0.6392843940016955
2023-06-28,-0.022443333333333332,-1.4125021104823232
2023-06-29,-0.016349666666666665,-1.1127546058704445
2023-06-30,-0.023558666666666662,-1.4673653647042664
2023-07-01,0.01,0.1833856759557347
2023-07-02,-0.0010133333333333333,-0.35836026531533727
2023-07-03,0.009387,0.15323220180326794
2023-07-04,0.01,0.1833856759557347
2023-07-05,-0.006595666666666667,-0.6329552797967732
2023-07-06,-0.018912666666666668,-1.2388285932322265
2023-07-07,-0.02083666666666667,-1.3334701662654176
2023-07-08,-0.014858333333333335,-1.0393959091014746
2023-07-09,-0.010306000000000001,-0.8154666015972667
2023-07-10,-0.007331000000000001,-0.6691263314445935
2023-07-11,0.0025143333333333333,-0.1848343180855626
2023-07-12,-0.00647,-0.6267737356121729
2023-07-13,-0.005699666666666668,-0.5888810337272623
2023-07-14,0.006096,-0.008652110489991538
2023-07-15,0.01,0.1833856759557347
2023-07-16,0.01,0.1833856759557347
2023-07-17,0.009848333333333334,0.17592519159501022
2023-07-18,0.01,0.1833856759557347
2023-07-19,0.01,0.1833856759557347
2023-07-20,0.004119333333333333,-0.10588435721328017
2023-07-21,0.0074399999999999996,0.05745925861427486
2023-07-22,0.008273666666666667,0.09846732759487269
2023-07-23,0.01,0.1833856759557347
2023-07-24,0.01,0.1833856759557347
2023-07-25,-0.014319666666666666,-1.012898892119209
2023-07-26,0.005610333333333333,-0.032542057113234664
2023-07-27,-0.007884,-0.6963284051906199
2023-07-28,-0.0013233333333333333,-0.37360916741527966
2023-07-29,0.0023986666666666666,-0.19052396220242285
2023-07-30,0.0010876666666666667,-0.255012061083147
2023-07-31,-0.011629666666666665,-0.8805777738971281
2023-08-01,0.005979333333333334,-0.014390944613625741
2023-08-02,0.008701,0.11948785715629867
2023-08-03,0.006018333333333334,-0.01247253434943944
2023-08-04,-0.012643000000000001,-0.9304236474281227
2023-08-05,-0.003717333333333333,-0.49137004363225417
2023-08-06,0.006749333333333334,0.023485360602360218
2023-08-07,0.01,0.1833856759557347
2023-08-08,0.007485000000000001,0.059672808919105286
2023-08-09,0.009459333333333333,0.1567902789599212
2023-08-10,0.007982000000000001,0.08412024228578714
2023-08-11,0.009851,0.17605636494640758
2023-08-12,0.01,0.1833856759557347
2023-08-13,0.01,0.1833856759557347
2023-08-14,0.01,0.1833856759557347
2023-08-15,0.01,0.1833856759557347
2023-08-16,-0.0011893333333333328,-0.3670177065075626
2023-08-17,-0.010137333333333333,-0.8071698871213839
2023-08-18,-0.018127666666666663,-1.2002144379146302
2023-08-19,-0.016631999999999997,-1.1266425844496395
2023-08-20,0.001707,-0.22454705022111152
2023-08-21,-0.0002903333333333334,-0.32279589041772966
2023-08-22,-0.011802333333333333,-0.8890712484001069
2023-08-23,-0.0067336666666666664,-0.6397435007315863
2023-08-24,0.0017670000000000001,-0.22159564981467106
2023-08-25,0.0002763333333333333,-0.29492155324579195
