date,avg_price,norm_price
2025-03-21,2.30160641405,0.6511419073023268
2025-03-20,2.418537884075,0.74917135777315
2025-03-19,2.38094341295,0.7176540481529334
2025-03-18,2.31638092745,0.663528114619024
2025-03-17,2.303284670925,0.6525488732728217
2025-03-16,2.289594982175,0.6410721282614729
2025-03-15,2.3511187713,0.6926505719218244
2025-03-14,2.25658925435,0.6134017897257258
2025-03-13,2.22414326885,0.5862007109411239
2025-03-12,2.2613924286,0.6174285289101593
2025-03-11,2.1528197319249998,0.5264066526871879
2025-03-10,2.2224198642,0.5847558953517686
2025-03-09,2.386667446425,0.7224527892951675
2025-03-08,2.5401323939,0.8511100657690849
2025-03-07,2.6891230303249998,0.9760163053889093
2025-03-06,2.7380056596999998,1.0169970378998034
2025-03-05,2.57421729285,0.8796851269797893
2025-03-04,2.5167110136,0.8314747610937372
2025-03-03,2.9026442643249997,1.1550217453136526
2025-03-02,3.0155787748,1.2497003463668057
2025-03-01,2.8395867624749993,1.1021575142123345
2025-02-28,2.7492500148,1.0264237384374444
2025-02-27,2.8440934484,1.1059356925297534
2025-02-26,2.9168933316249994,1.1669674451055232
2025-02-25,2.859872506575,1.1191640595511525
2025-02-24,3.1208689605749997,1.3379703309080708
2025-02-23,3.392637272825,1.5658071852600663
2025-02-22,3.3505128416,1.5304921854272595
2025-02-21,3.3765649322250004,1.5523329450366175
2025-02-20,3.334708120575,1.5172423039659715
2025-02-19,3.136604538425,1.3511622462166406
2025-02-18,3.107642002875,1.3268815162848169
2025-02-17,3.247530970275,1.4441573753689543
2025-02-16,3.3495012613750004,1.529644127555904
2025-02-15,3.48821205185,1.6459322624928079
2025-02-14,3.5466686623,1.6949393381549485
2025-02-13,3.53174082385,1.6824245908447686
2025-02-12,3.4195800962,1.5883946903091262
2025-02-11,3.3280696418,1.5116769379773598
2025-02-10,3.1042217176249998,1.324014121532666
2025-02-09,3.0314818576500002,1.26303268942419
2025-02-08,3.013870951175,1.2482685931234399
2025-02-07,3.1077457078,1.3269684572666303
2025-02-06,3.2729036523750006,1.4654285531169307
2025-02-05,3.488966879925,1.6465650723033436
2025-02-04,3.604290696625,1.7432467472611795
2025-02-03,3.3199575395,1.5048761603042313
2025-02-02,3.5132980209,1.6669630744716004
2025-02-01,3.9182625319000004,2.006464908024434
2025-01-31,4.11692728555,2.1730154236731916
2025-01-30,3.924560688675,2.011744965202372
2025-01-29,3.7101104737500004,1.8319607144959276
2025-01-28,3.808558248675,1.9144943666762144
2025-01-27,3.8367001598500003,1.9380871264960835
2025-01-26,4.023897887375,2.0950242654437012
2025-01-25,4.1714776874499995,2.218747730981705
2025-01-24,4.288979136,2.3172550227177924
2025-01-23,4.354486063125,2.3721727285049776
2025-01-22,4.571243245,2.5538910240183035
2025-01-21,4.526616512025,2.5164782205282585
2025-01-20,4.517778379799999,2.5090687759619663
2025-01-19,4.73603027045,2.6920401599705954
2025-01-18,4.899579800925,2.8291518425124953
2025-01-17,4.8277802338499995,2.7689587045753727
2025-01-16,4.804096147925001,2.7491031607458543
2025-01-15,4.687635157575,2.6514681367197515
2025-01-14,4.658956396675,2.627425309150663
2025-01-13,4.657453171125,2.6261650806204924
2025-01-12,4.8439619855250005,2.7825246695291743
2025-01-11,5.03319926005,2.9411716618770503
2025-01-10,4.961857572725,2.8813623872426355
2025-01-09,4.7632308432,2.7148437491036495
2025-01-08,4.754143280299999,2.7072251944321346
2025-01-07,4.94911986165,2.8706837323290233
2025-01-06,5.176214631175,3.061068540256046
2025-01-05,5.244531076625,3.118341604591521
2025-01-04,5.111383210650001,3.0067171451530017
2025-01-03,4.64124000315,2.6125727778243286
2025-01-02,4.333515011,2.354591655461346
2025-01-01,4.185997271674999,2.2309202185279338
2024-12-31,4.166050224725,2.2141976198074516
2024-12-30,4.1481854523,2.1992206950904816
2024-12-29,4.155183441,2.205087456078908
2024-12-28,4.12701192125,2.181469873922197
2024-12-27,4.183708440825,2.229001378113132
2024-12-26,4.351501615775,2.3696707182795262
2024-12-25,4.551706846349999,2.537512692133576
2024-12-24,4.6319026251999995,2.604744790806965
2024-12-23,4.468402247275,2.4676743152854232
2024-12-22,4.3610441117250005,2.377670665888999
2024-12-21,4.518910528875,2.51001791267982
2024-12-20,4.18454476045,2.2297025063315594
2024-12-19,4.24099868265,2.2770306291115556
2024-12-18,4.50840380135,2.501209601920517
2024-12-17,4.67456274615,2.640508885903463
2024-12-16,4.738228449674999,2.693883002632344
2024-12-15,4.60893389085,2.585488961680218
2024-12-14,4.603554721275,2.5809793370486798
2024-12-13,4.704624792075,2.665711389912233
2024-12-12,4.55698422335,2.5419369790011475
2024-12-11,4.017599127525,2.089743702678082
2024-12-10,3.72997962465,1.848618009094485
2024-12-09,3.96085821735,2.04217498364564
2024-12-08,4.264125905549999,2.2964193270499162
2024-12-07,4.270115972775,2.3014410974785657
2024-12-06,4.249502474275,2.2841597793714383
2024-12-05,3.97314132245,2.0524725198244886
2024-12-04,3.6761405580499997,1.8034820494462256
2024-12-03,3.563358920175,1.7089316090752813
2024-12-02,3.382570293125,1.5573675369115
2024-12-01,3.45593089685,1.6188693692910299
2024-11-30,3.479269565725,1.638435332876775
2024-11-29,3.4609292032,1.6230596973923577
2024-11-28,3.4839936060750003,1.6423957301882386
2024-11-27,3.42414191505,1.5922190892918582
2024-11-26,3.294062016875,1.4831666594141735
2024-11-25,3.294744494675,1.4837388144010069
2024-11-24,3.3974602839999997,1.569850554722528
2024-11-23,3.505106803525,1.6600959707074328
2024-11-22,3.565220301525,1.7104920973751216
