date,merged_apy,merged_tvl,merged_apy_scaled,merged_tvl_scaled
2024-02-02,227.82141,21187.0,0.7236812942030648,-0.7222867676465327
2024-02-03,143.79117,18657.0,0.004975436334056153,-0.7224888946051269
2024-02-04,120.4798,18670.0,-0.19440538387961778,-0.7224878560081065
2024-02-05,238.34662,18648.0,0.8137028160064238,-0.7224896136338333
2024-02-06,182.70756,18578.0,0.3378251040264835,-0.722495206079328
2024-02-07,396.76821,21265.0,2.168673654432238,-0.72228053606441
2024-02-08,111.79862,20942.0,-0.26865502209575615,-0.7223063412057641
2024-02-09,228.02948,19218.0,0.7254609050651405,-0.7224440751490908
2024-02-10,143.37956,17787.0,0.0014549594419580249,-0.7225584007134183
2024-02-11,128.88152,17784.0,-0.12254595113046454,-0.7225586403896537
2024-02-12,158.43661,20125.0,0.1302370507132261,-0.7223716130338952
2024-02-13,215.96068,20043.0,0.6222371458869029,-0.7223781641843318
2024-02-14,102.80457,20263.0,-0.3455806196064471,-0.7223605879270627
2024-02-15,166.72953,19905.0,0.2011659232576704,-0.7223891892911642
2024-02-16,71.02577,19328.0,-0.6173828864576146,-0.7224352870204562
2024-02-17,47.91414,19251.0,-0.8150553418248861,-0.7224414387105005
2024-02-18,34.11121,19377.0,-0.9331110161482712,-0.72243137230861
2024-02-19,56.93985,18334.0,-0.7378589581369794,-0.7225146997464811
2024-02-20,101.45496,18437.0,-0.35712375708693733,-0.7225064708623959
2024-02-21,208.5439,18617.0,0.5588018488732838,-0.7224920902882668
2024-02-22,68.64689,20695.0,-0.6377293116393995,-0.7223260745491525
2024-02-23,81.8338,20047.0,-0.5249424212985959,-0.7223778446160178
2024-02-24,63.19729,20179.0,-0.6843394301282072,-0.7223672988616564
2024-02-25,40.68984,18980.0,-0.876844368358704,-0.7224630894637728
2024-02-26,74.09774,19085.0,-0.5911085019717693,-0.7224547007955308
2024-02-27,86.42083,19090.0,-0.48570981490331633,-0.7224543013351382
2024-02-28,215.07455,19050.0,0.6146581264549286,-0.7224574970182781
2024-02-29,156.35686,19249.0,0.11244906738837704,-0.7224415984946574
2024-03-01,117.24819,19458.0,-0.22204516019524023,-0.7224249010502518
2024-03-02,145.76294,19229.0,0.021839872867503753,-0.7224431963362273
2024-03-03,73.51816,18855.0,-0.5960656167093177,-0.7224730759735848
2024-03-04,124.11084,19911.0,-0.1633493055183435,-0.7223887099386932
2024-03-05,270.1616,21139.0,1.0858145283374294,-0.7222906024663004
2024-03-06,132.02738,19650.0,-0.09563958968206455,-0.7224095617711807
2024-03-07,174.60349,19463.0,0.26851145477854016,-0.7224245015898594
2024-03-08,127.95929,19434.0,-0.13043373180683218,-0.7224268184601357
2024-03-09,101.63453,19527.0,-0.35558790510201455,-0.7224193884968356
2024-03-10,190.6783,20770.0,0.40599838937650545,-0.7223200826432654
2024-03-11,125.89968,20913.0,-0.14804945885849338,-0.7223086580760405
2024-03-12,81.62677,19899.0,-0.5267131370998911,-0.7223896686436352
2024-03-13,134.11248,20129.0,-0.07780584811185509,-0.7223712934655812
2024-03-14,160.76733,20079.0,0.15017156615733818,-0.7223752880695059
2024-03-15,179.08772,19889.0,0.3068648186274586,-0.7223904675644202
2024-03-16,322.1282,23638.0,1.5302818990546334,-0.7220909521621395
2024-03-17,194.88596,23546.0,0.44198626576387645,-0.7220983022333611
2024-03-18,358.43501,20346.0,1.840811977601798,-0.7223539568845476
2024-03-19,389.81843,21048.0,2.1092325818266984,-0.7222978726454435
2024-03-20,231.36549,20090.0,0.7539936086360166,-0.7223744092566425
2024-03-21,224.72308,20438.0,0.6971814541382112,-0.722346606813326
2024-03-22,73.02811,20100.0,-0.6002569864548843,-0.7223736103358576
2024-03-23,105.63394,18144.0,-0.3213811791064695,-0.7225298792413952
2024-03-24,100.10546,18200.0,-0.36866595374369127,-0.7225254052849994
2024-03-25,165.96444,18484.0,0.19462215205343478,-0.7225027159347067
2024-03-26,213.42134,18712.0,0.6005183154620334,-0.7224845005408096
2024-03-27,1013.39256,19536.0,7.442626608150684,-0.7224186694681292
2024-03-28,183.58883,19461.0,0.345362556155196,-0.7224246613740163
2024-03-29,206.88871,20013.0,0.5446451030531337,-0.7223805609466867
2024-03-30,156.01232,19921.0,0.10950223638717789,-0.7223879110179082
2024-03-31,59.51783,19994.0,-0.7158096419923492,-0.7223820788961781
2024-04-01,373.10228,20836.0,1.966260302727924,-0.7223148097660846
2024-04-02,264.22765,20645.0,1.0350617918784852,-0.7223300691530773
2024-04-03,175.63291,19375.0,0.2773160254212936,-0.722431532092767
2024-04-04,388.29063,21099.0,2.0961653954227057,-0.7222937981494403
2024-04-05,137.48495,20968.0,-0.048961304237084634,-0.7223042640117232
2024-04-06,45.52403,20786.0,-0.8354978165572122,-0.7223188043700094
2024-04-07,44.8223,20791.0,-0.8414996732892938,-0.722318404909617
2024-04-08,56.61658,20718.0,-0.740623868039335,-0.7223242370313472
2024-04-09,65.33681,19973.0,-0.6660402373967822,-0.7223837566298265
2024-04-10,219.85383,19802.0,0.6555350361531063,-0.7223974181752493
2024-04-11,60.60952,19884.0,-0.7064724795853751,-0.7223908670248126
2024-04-12,103.14162,17867.0,-0.3426978501487524,-0.7225520093471386
2024-04-13,217.42688,15969.0,0.6347774709985241,-0.7227036445121235
2024-04-14,150.63525,17328.0,0.0635124628583662,-0.7225950711774478
2024-04-15,193.34472,17393.0,0.42880412780518395,-0.7225898781923455
2024-04-16,153.43258,17817.0,0.08743786706276578,-0.7225560039510633
2024-04-17,212.25895,18281.0,0.5905764599808595,-0.7225189340266414
